coat1,15%,apr,19
coat8,15%,apr,19
shirt3,15%,apr,19
shirt7,15%,apr,19
dress1,15%,apr,19
coat1,15%,aug,19
coat8,15%,aug,19
shirt3,15%,aug,19
shirt7,15%,aug,19
dress1,15%,aug,19
coat1,33%,dec,19
coat8,33%,dec,19
shirt3,33%,dec,19
shirt7,33%,dec,19
dress1,33%,dec,19
coat1,10%,feb,19
coat8,10%,feb,19
shirt3,10%,feb,19
shirt7,10%,feb,19
dress1,10%,feb,19
coat1,33%,jan,19
coat8,33%,jan,19
shirt3,33%,jan,19
shirt7,33%,jan,19
coat1,33%,jul,19
coat8,33%,jul,19
shirt3,33%,jul,19
shirt7,33%,jul,19
dress1,33%,jul,19
coat1,10%,jun,19
coat8,10%,jun,19
shirt3,10%,jun,19
shirt7,10%,jun,19
dress1,10%,jun,19
coat1,15%,mar,19
coat8,15%,mar,19
shirt3,15%,mar,19
shirt7,15%,mar,19
dress1,15%,mar,19
coat1,10%,may,19
coat8,10%,may,19
shirt3,10%,may,19
shirt7,10%,may,19
dress1,10%,may,19
coat1,15%,nov,19
coat8,15%,nov,19
shirt3,15%,nov,19
shirt7,15%,nov,19
dress1,15%,nov,19
coat1,10%,oct,19
coat8,10%,oct,19
shirt3,10%,oct,19
shirt7,10%,oct,19
dress1,10%,oct,19
coat1,15%,sep,19
coat8,15%,sep,19
shirt3,15%,sep,19
shirt7,15%,sep,19
dress1,15%,sep,19
shirt6,15%,sep,29
shirt4,15%,sep,29
dress3,15%,sep,29
dress7,15%,sep,29
dress7,10%,oct,29
coat4,15%,sep,29
coat7,15%,sep,29
pants7,15%,sep,29
shirt6,10%,oct,29
dress3,10%,oct,29
shirt4,10%,oct,29
pants7,10%,oct,29
coat4,10%,oct,29
coat7,10%,oct,29
dress7,15%,nov,29
dress3,15%,nov,29
shirt6,15%,nov,29
shirt4,15%,nov,29
coat4,15%,nov,29
coat7,15%,nov,29
pants7,15%,nov,29
dress7,10%,may,29
shirt6,10%,may,29
dress3,10%,may,29
shirt4,10%,may,29
pants7,10%,may,29
coat4,10%,may,29
coat7,10%,may,29
dress7,15%,mar,29
dress3,15%,mar,29
shirt6,15%,mar,29
shirt4,15%,mar,29
dress7,10%,jun,29
coat4,15%,mar,29
coat7,15%,mar,29
pants7,15%,mar,29
shirt6,10%,jun,29
dress3,10%,jun,29
shirt4,10%,jun,29
pants7,10%,jun,29
coat4,10%,jun,29
coat7,10%,jun,29
dress7,33%,jul,29
dress3,33%,jul,29
shirt6,33%,jul,29
shirt4,33%,jul,29
coat4,33%,jul,29
coat7,33%,jul,29
pants7,33%,jul,29
dress7,33%,jan,29
dress3,33%,jan,29
shirt4,33%,jan,29
shirt6,33%,jan,29
pants7,33%,jan,29
coat4,33%,jan,29
coat7,33%,jan,29
dress7,10%,feb,29
dress3,10%,feb,29
shirt4,10%,feb,29
shirt6,10%,feb,29
pants7,10%,feb,29
